"Site","Duration_Years","Canopy_Pct","Urban_Pct","Ag_Pct","Forest_Pct","Wastewater_NPDES","Dam","Lat","Long","Location","Region","WatershedArea_Km2","MADischarge_m3_per_s","Width_m","WaterTemp_degC","Elevation_m","AnnualGPP_gC_per_m2","AnnualER_gC_per_m2"
"Fuirosos",2,,,,,"No","No","41°42'00.0""N","2°34'00.0""E","Spain","Europe",16.2,0.06,2.3,15,,100.00,1020.00
"Cruise Ck",1,,,,,"No","No",,,"Kentucky","North America",11.1,,,,,690.078125,1402.96875
"Middle Ck",1,,,,,"No","No",,,"Kentucky","North America",8.5,,,,,433.4375,1105.265625
"Elijah",1,,,,,"No","No",,,"Kentucky","North America",10.1,,,,,872.578125,1385.859375
"Steep Ck",1,,,,,"No","No",,,"Kentucky","North America",9.6,,,,,701.484375,1163.4375
"Ashby Fk",1,,,,,"No","No",,,"Kentucky","North America",11.4,,,,,664.4140625,1125.796875
"Steep Ck",1,,,,,"No","No",,,"Kentucky","North America",9.6,,,,,516.1328125,934.171875
"Middle Ck",1,,,,,"No","No",,,"Kentucky","North America",8.5,,,,,470.5078125,821.25
"Oakbrook",1,,,,,"No","No",,,"Kentucky","North America",10.1,,,,,829.8046875,1132.640625
"Sunnybrook",1,,,,,"No","No",,,"Kentucky","North America",5.7,,,,,650.15625,923.90625
"Cruise Ck",1,,,,,"No","No",,,"Kentucky","North America",11.1,,,,,481.9140625,745.96875
"Elijah",1,,,,,"No","No",,,"Kentucky","North America",10.1,,,,,952.421875,1180.546875
"Sunnybrook",1,,,,,"No","No",,,"Kentucky","North America",5.7,,,,,792.734375,958.125
"Oakbrook",1,,,,,"No","No",,,"Kentucky","North America",10.1,,,,,1006.6015625,1136.0625
"Threemile",1,,,,,"No","No",,,"Kentucky","North America",8.2,,,,,567.4609375,636.46875
"Threemile",1,,,,,"No","No",,,"Kentucky","North America",8.2,,,,,567.4609375,598.828125
"Ashby Fk",1,,,,,"No","No",,,"Kentucky","North America",11.4,,,,,667.265625,653.578125
"Watershed 1",1,,0,0,100,"No","No"," 44°12'27.50""N","122°15'32.89""W","Oregon","North America",0.959,0.04,,,,36,355.875
"Montsant (Reservoir impact)",1,,,,,"No","Yes","41.284696, 0.755145",,"Spain","Europe",97,,,15,,415.31296875,1355.4650735294
"Cinca (Reservoir impact)",1,,,,,"No","Yes","42.121025, 0.230082",,"Spain","Europe",2375,,,15,,350.02359375,977.8511029412
"Montsant",1,,,,,"No","No","41.328935, 0.871957",,"Spain","Europe",97,,,15,,261.203125,774.5514705882
"Ara",1,,,,,"No","No","42.472703, -0.028821",,"Spain","Europe",800,,,15,,220.140625,558.7720588235
"Siurana (Reservoir Impact)",1,,,,,"No","Yes","41.247874, 0.907618",,"Spain","Europe",604,,,15,,99.74765625,256.4393382353
"Siurana",1,,,,,"No","No","41.257037, 0.943023",,"Spain","Europe",604,,,15,,62.734375,146.5367647059
"Creightons Creek",1,25,,,,"No","No","36°44'28""S 145°25'01""E",,"Australia","Asia/Pacifica",174,,9,14.4,,25.8494140625,172.091796875
"Shepherd Creek",2,60,,,,"No","No","39°34'N,","84°34'W","Ohio","North America",0.26,,2.2,11,,117.1875,648.53
"Ogeechee River",1,,,,,"No","No","32°08'N","81°25'W","Florida","North America",6860,,33,19,,255.00,1459.25
"Chena River Site 1",1,0,,,,"No","No","64°53.9090'N, 146°38.2710'W",,"Alaska","North America",3000,,,19,,253.90625,986.0294117647
"Chena River Site 3",1,0,,,,"No","No","64°49.052'N","147°06.273'W","Alaska","North America",4000,,,19,,144.53125,675.5514705882
"Chena River Site 2",1,0,,,,"No","No","64°52.8470'N","146°43.360'W","Alaska","North America",3500,,,19,,159.375,635.8455882353
"Chena River Site 4",1,0,,,,"No","No","64°48.253'N","147°07.901'W","Alaska","North America",4000,,,19,,150,593.3823529412
"Girnock Catchment",2,0,,,,"No","No","57.013670, -3.134222",,"Scotland","Europe",31,,9,7,,992.3828571429,1526.7428571429
"Girnock Catchment",2,70,,,,"No","No","57.046958, -3.114869",,"Scotland","Europe",25,,9,7,,1121.28,1401.6
"Big Springs",1,0,,,,"No","No","39°52'03""N","75°49'06""W","New York","North America",2.38,,1.63,11,,179.08,1682.76
"Wests",1,0,,,,"No","No","39°54'02""N","75°47'28""W","New York","North America",1.6,,1.04,11,,101.52,984.69
"Big Springs",1,80,,,,"No","No","39°52'14""N","75°49'20""W","New York","North America",2.1,,3.34,11,,75.85,742.35
"Hannums",1,0,,,,"No","No","39°54'03""N","75°47'22""W","New York","North America",0.75,,0.87,11,,141.44,804.34
"Moorheads",1,0,,,,"No","No","39°52'37""N","75°48'09""W","New York","North America",2.17,,1.15,11,,362.15,966.98
"West Branch White",1,0,,,,"No","No","39°46'04""N","75°50'01""W","New York","North America",1.52,,1.23,11,,115.20,702.09
"White Clay ",1,0,,,,"No","No","39°51'18""N","75°47'03""W","New York","North America",7.62,,2.94,11,,229.27,793.07
"Moorheads",1,80,,,,"No","No","39°52'51""N","75°48'19""W","New York","North America",1.61,,2.92,11,,62.16,620.77
"West Branch White",1,80,,,,"No","No","39°46'03""N","75°50'13""W","New York","North America",1.33,,2.77,11,,33.08,577.29
"Pocopson",1,0,,,,"No","No","39°54'11""N","75°38'44""W","New York","North America",21,,4.47,11,,152.27,673.10
"Doe Wister",1,80,,,,"No","No","39°54'09""N","75°50'51""W","New York","North America",26.4,,8.84,11,,309.11,818.03
"Birch Run",1,80,,,,"No","No","39°55'49""N","75°52'47""W","New York","North America",8.11,,6.38,11,,120.91,624.79
"Teters",1,0,,,,"No","No","39°52'20""N","75°47'13""W","New York","North America",3,,1.43,11,,258.35,731.88
"Wests",1,80,,,,"No","No","39°53'54""N","75°47'32""W","New York","North America",1.44,,2.66,11,,52.47,519.32
"Buck and Doe Run",1,0,,,,"No","No","39°55'17""N","75°47'43""W","New York","North America",121,,11.9,11,,401.50,831.72
"Birch Run",1,0,,,,"No","No","39°55'55""N","75°53'01""W","New York","North America",7.03,,2,11,,337.63,754.42
"Pocopson",1,80,,,,"No","No","39°54'12""N","75°38'28""W","New York","North America",21.5,,8.3,11,,104.94,466.99
"Doe Wister",1,0,,,,"No","No","39°54'14""N","75°51'06""W","New York","North America",24.24,,5.94,11,,538.38,877.61
"Buck and Doe Run",1,80,,,,"No","No","39°55'32""N","75°46'55""W","New York","North America",123.3,,16.7,11,,179.08,515.29
"Fishers",1,80,,,,"No","No","39°55'44""N","75°51'43""W","New York","North America",12.94,,5.4,11,,111.21,445.25
"Hannums",1,80,,,,"No","No","39°53'57""N","75°47'16""W","New York","North America",0.69,,2.48,11,,58.17,362.32
"Gramies",1,0,,,,"No","No","39°41'05""N","75°51'02""W","New York","North America",3.54,,2.53,11,,378.12,681.15
"White Clay ",1,80,,,,"No","No","39°51'47""N","75°47'03""W","New York","North America",6.56,,4.87,11,,136.30,432.36
"Fishers",1,0,,,,"No","No","39°55'40""N","75°51'35""W","New York","North America",13.67,,4,11,,208.16,447.66
"Teters",1,80,,,,"No","No","39°52'29""N","75°47'29""W","New York","North America",1.92,,2.62,11,,73.57,309.98
"Gramies",1,80,,,,"No","No","39°41'18""N","75°51'10""W","New York","North America",3.14,,3.97,11,,131.74,311.59
"Agroforest (transition)",1,,,,,"No","No","-1.441467, 110.421115",,"Kalimantan","Asia/Pacifica",22.97,,,27,,70.71875,821.25
"Young Oil Palm",1,,,,,"No","No","-1.441467, 110.421115",,"Kalimantan","Asia/Pacifica",26.21,,,29,,86.6875,805.1470588235
"Mature Oil Palm",1,,,,,"No","No","-1.093843, 110.325431",,"Kalimantan","Asia/Pacifica",12.83,,,28,,86.6875,708.5294117647
"Forest",1,,,,,"No","No","-1.198613, 110.119132",,"Kalimantan","Asia/Pacifica",10.65,,,25,,57.03125,322.0588235294
"La Trobe w",,60,,,,"No","No",,,"Australia","Asia/Pacifica",325,,,15,,26.23,665.05
"La Trobe h",,40,,,,"No","No",,,"Australia","Asia/Pacifica",225,,,15,,67.30,647.34
"La Trobe a",,80,,,,"No","No",-37.870973,145.812993,"Australia","Asia/Pacifica",12.5,,8.4,15,,17.11,478.26
"La Trobe r",,0,,,,"No","No",,,"Australia","Asia/Pacifica",4140,,24,15,,84.41,450.88
"La Trobe M",,0,,,,"No","No",,,"Australia","Asia/Pacifica",2500,,27,15,,216.72,302.74
"Waitangi",9,64,0,96.7,3.2,"No","No",,,"Auckland, NZ","Asia/Pacifica",17.7,0.036,,15.7,,1257.88,4046.025
"Kumeu",9,6,1.9,76.1,21.8,"No","No",,,"Auckland, NZ","Asia/Pacifica",45.77,0.02,,14.81,,1077.21,3562.85625
"Vaughan",9,20,3.6,45.9,50.5,"No","No",,,"Auckland, NZ","Asia/Pacifica",4.14,0.001,,15.21,,459.90,2229.69375
"Ararimu",9,80,0,41.6,58,"No","No",,,"Auckland, NZ","Asia/Pacifica",70.68,0.055,,14.75,,354.51,1682.19375
"Kaipara",9,68,1.5,61.4,36.9,"No","No",,,"Auckland, NZ","Asia/Pacifica",156.21,0.124,,15.06,,294.28,1491.9375
"Kaukapakapa",9,74,0,76.1,23.5,"No","No",,,"Auckland, NZ","Asia/Pacifica",61.63,0.015,,14.75,,396.94,1520.68125
"Rangitopuni",9,72,0.5,64.5,34.2,"No","No",,,"Auckland, NZ","Asia/Pacifica",83.69,0.016,,14.69,,95.81,992.34375
"Ngakaroa",9,40,0,93.8,5.1,"No","No",,,"Auckland, NZ","Asia/Pacifica",4.71,0.007,,14.52,,385.99,1178.49375
"Wairoa",9,36,0,62.6,37.3,"No","No",,,"Auckland, NZ","Asia/Pacifica",114.42,0.365,,14.88,,369.56,822.61875
"West Hoe",9,94,0,0.1,99.9,"No","No",,,"Auckland, NZ","Asia/Pacifica",0.54,0.002,,13.27,,6.84,243.6375
"Puhinui",9,0,44.2,43.3,12.4,"No","No",,,"Auckland, NZ","Asia/Pacifica",10.43,0.014,,16.79,,1720.52,1931.30625
"Mahurangi",9,74,0.6,44.1,55.3,"No","No",,,"Auckland, NZ","Asia/Pacifica",46.5,0.075,,15.55,,294.28,494.11875
"Hoteo",9,54,0.3,53.4,45.9,"No","No",,,"Auckland, NZ","Asia/Pacifica",268.32,0.379,,15.71,,517.39,607.725
"Ichetucknee River",1,,,,,"No","No","-1.441467, 110.421115",,"Florida","North America",1215.3559364178,,30,20.7,,1252.41,1755.22
"Kissemmee R",2,0,,,,"No","No",27.46324,-81.169349,"Florida","North America",1963,,22,25,,451.00,1520.00
"South Platte",3,0,,,,"No","No","40.165831, -104.840431",,"Colorado","North America",13000,,40,13,,131.4,788.4
"Brocky Burn",2,10,,,,"No","No","56.937701, -2.634039",,"Scotland","Europe",1.3,,,7.5,,259.15,963.6
"Water of Dye",2,10,,,,"No","No","56.939562, -2.627462",,"Scotland","Europe",41.4,,,8,,332.15,985.5
"Mississippi River",2,,,,,"No","No","30*26'44.4","91*11'29.6""","Mississippi","North America",2900000,17866,820,17.8,,70,305
