"","id","region","site","name","latitude","longitude","usgs","addDate","embargo","by","contact","contactEmail"
"1",1,"AZ","SC","Sycamore Creek",33.7532005310059,-111.505996704102,"09510200",2016-12-14 13:25:01,0,1,NA,NA
"2",2,"AZ","OC","Oak Creek",34.8615989685059,-111.762001037598,"09504420",2016-12-14 13:25:01,0,1,NA,NA
"3",3,"AZ","WB","Wet Beaver Creek",34.6792984008789,-111.694999694824,"09505200",2016-12-14 13:25:01,0,1,NA,NA
"4",4,"AZ","LV","Lower Verde River",33.5586013793945,-111.668998718262,"09511300",2016-12-14 13:25:01,0,1,NA,NA
"5",5,"AZ","AF","Agua Fria",34.2560997009277,-112.06600189209,"09512500",2016-12-14 13:25:01,0,1,NA,NA
"6",6,"FL","SF2500","Santa Fe 2500",29.8493003845215,-82.7147979736328,"02322500",2016-12-14 13:25:01,0,1,NA,NA
"7",7,"FL","SF700","Santa Fe 700",29.8465003967285,-82.2197036743164,"02320700",2016-12-14 13:25:01,0,1,NA,NA
"8",8,"FL","NR1000","New River 1000",29.9979991912842,-82.2742004394531,"02321000",2016-12-14 13:25:01,0,1,NA,NA
"9",9,"FL","WS1500","Worthington Springs 1500",29.9218997955322,-82.4262008666992,"02321500",2016-12-14 13:25:01,0,1,NA,NA
"10",10,"FL","ICHE2700","Ichetucknee Springs 2700",29.952600479126,-82.7863006591797,"02322700",2016-12-14 13:25:01,0,1,NA,NA
"11",11,"FL","SF2800","Santa Fe 2800",29.9118003845215,-82.8606033325195,"02322800",2016-12-14 13:25:02,0,1,NA,NA
"12",12,"NC","UEno","East Eno River",36.1358985900879,-79.1587982177734,NA,2016-12-14 13:25:02,0,1,NA,NA
"13",13,"NC","Eno","Eno River",36.0714988708496,-79.0968017578125,"02085000",2016-12-14 13:25:02,0,1,NA,NA
"14",14,"NC","Mud","Mud Tributary",36.0040016174316,-78.9714965820312,NA,2016-12-14 13:25:02,0,1,NA,NA
"15",15,"NC","NHC","New Hope Creek",35.9925003051758,-79.0459976196289,NA,2016-12-14 13:25:02,0,1,NA,NA
"16",16,"NC","UNHC","Upper New Hope Creek",35.9794998168945,-79.0018005371094,NA,2016-12-14 13:25:02,0,1,NA,NA
"17",17,"NC","Stony","Stony Creek",36.0325012207031,-79.0823974609375,NA,2016-12-14 13:25:02,0,1,NA,NA
"18",18,"PR","QS","Quebrada Sonadora",18.3213005065918,-65.8171005249023,NA,2016-12-14 13:25:02,0,1,NA,NA
"19",19,"PR","Icacos","Rio Icacos",18.2754001617432,-65.7854995727539,"50075000",2016-12-14 13:25:02,0,1,NA,NA
"20",20,"CT","Unio","Farmington River at Unionville",41.755500793457,-72.8870010375977,"01188090",2017-01-02 12:01:42,0,7,NA,NA
"21",22,"CT","FARM","Farmington River at Tariffville",41.9082984924316,-72.7593994140625,"01189995",2017-01-02 17:16:18,0,7,NA,NA
"22",23,"VT","Pass","Passumpsic River",44.3656005859375,-72.0392990112305,"01135500",2017-01-02 17:21:45,0,7,NA,NA
"23",24,"CT","BUNN","Bunnell Brook",41.7862014770508,-72.9647979736328,"01188000",2017-01-02 17:25:42,0,7,NA,NA
"24",25,"CT","STIL","Still River",41.9678993225098,-73.0334014892578,"01186500",2017-01-02 17:28:10,0,7,NA,NA
"25",26,"CT","HUBB","Hubbard River",42.0374984741211,-72.9393005371094,"01187300",2017-01-02 17:29:58,0,7,NA,NA
"26",27,"VT","SLPR"," SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",44.4352989196777,-72.0389022827148,"01135300",2017-01-02 17:32:46,0,7,NA,NA
"27",28,"VT","POPE","Pope Brook (W-3) near North Danville, VT",44.4761009216309,-72.125,"01135150",2017-01-02 17:35:23,0,7,NA,NA
"28",29,"VT","MOOS","Moose River near Victory VT",44.5116996765137,-71.8377990722656,"01134500",2017-01-02 17:40:59,0,7,NA,NA
"29",30,"WI","BEC","Black Earth Creek",43.1096992492676,-89.6408004760742,"05406457",2017-01-24 11:53:11,0,1,NA,NA
"30",31,"WI","BRW","Brewery Creek",43.125,-89.6350021362305,"05406469",2017-01-24 11:53:39,0,1,NA,NA
"31",32,"RI","CorkBrk","Cork Brook",41.8037986755371,-71.64990234375,"01115280",2017-03-30 09:57:42,0,29,"Kelly Addy","kaddy@uri.edu"
"32",33,"MD","BARN","Baisman Run at Ivy Hill Road",39.4796981811523,-76.678596496582,NA,2017-08-11 08:53:53,0,9,"AJ Reisinger","areisin1@gmail.com"
"33",34,"MD","DRKR","Dead Run",39.3111991882324,-76.7165985107422,NA,2017-08-11 11:11:02,0,21,"AJ Reisinger","areisin1@gmail.com"
"34",35,"MD","POBR","Pond Branch",39.4803009033203,-76.6875,NA,2017-08-11 11:12:30,0,1,"AJ Reisinger","areisin1@gmail.com"
"35",36,"MD","GFCP","Gwynns Falls at Carroll Park",39.2714996337891,-76.6485977172852,NA,2017-08-11 11:12:34,0,24,"AJ Reisinger","areisin1@gmail.com"
"36",37,"MD","GFGB","Gwynns Falls at Gwynnbrook Avenue (Delight)",39.4429016113281,-76.7834014892578,NA,2017-08-11 11:12:34,0,31,"AJ Reisinger","areisin1@gmail.com"
"37",38,"MD","GFVN","Gwynns Falls at Villa Nova",39.3459014892578,-76.7332000732422,NA,2017-08-17 10:33:47,0,1,"AJ Reisinger","areisin1@gmail.com"
"38",39,"AZ","MV","Middle Verde River",34.4991989135742,-111.817001342773,"09506000",2017-11-22 07:27:00,0,35,NA,NA
"48",49,"PR","RioIcacosTrib","IO-Rio Icacos tributary",18.2765007019043,-65.7858963012695,NA,2018-02-27 16:24:19,1,5,"Miguel Leon","leonmi@sas.upenn.edu"
