FID,FID_1,Field1,id,region,site,name,latitude,longitude,usgs,addDate,embargo,by_,contact,contactEma,OBJECTID,GRIDCODE,FEATUREID,SOURCEFC,AreaSqKM,Shape_Leng,Shape_Area
0,8,9,9,FL,WS1500,Worthington Springs 1500,29.9218998,-82.42620087,2321500,12/14/2016 0:00,0,1,NA,NA,287547,2505770,2161874,NHDFlowline,16.5915,0.247622493,0.001550058
1,7,8,8,FL,NR1000,New River 1000,29.99799919,-82.27420044,2321000,12/14/2016 0:00,0,1,NA,NA,287725,2505957,2161384,NHDFlowline,2.0826,0.092156432,0.000194703
2,9,10,10,FL,ICHE2700,Ichetucknee Springs 2700,29.95260048,-82.78630066,2322700,12/14/2016 0:00,0,1,NA,NA,287768,2506000,2161766,NHDFlowline,34.4727,0.486541195,0.003221933
3,10,11,11,FL,SF2800,Santa Fe 2800,29.91180038,-82.86060333,2322800,12/14/2016 0:00,0,1,NA,NA,287817,2506051,2161876,NHDFlowline,65.9853,0.591030262,0.006164316
4,5,6,6,FL,SF2500,Santa Fe 2500,29.84930038,-82.71479797,2322500,12/14/2016 0:00,0,1,NA,NA,287903,2506142,2161822,NHDFlowline,246.942,1.378208493,0.023050341
5,6,7,7,FL,SF700,Santa Fe 700,29.8465004,-82.21970367,2320700,12/14/2016 0:00,0,1,NA,NA,288085,2506326,2161828,NHDFlowline,6.4098,0.170961471,0.000598361
6,12,13,13,NC,Eno,Eno River,36.07149887,-79.09680176,2085000,12/14/2016 0:00,0,1,NA,NA,322912,2247924,8780571,NHDFlowline,10.0944,0.227838744,0.001009881
7,11,12,12,NC,UEno,East Eno River,36.13589859,-79.15879822,NA,12/14/2016 0:00,0,1,NA,NA,322948,2247960,8780473,NHDFlowline,2.448,0.09737336,0.000245099
8,16,17,17,NC,Stony,Stony Creek,36.03250122,-79.08239746,NA,12/14/2016 0:00,0,1,NA,NA,323569,2248583,8780657,NHDFlowline,3.5397,0.146621761,0.000353945
9,15,16,16,NC,UNHC,Upper New Hope Creek,35.97949982,-79.00180054,NA,12/14/2016 0:00,0,1,NA,NA,331243,2256398,8895490,NHDFlowline,1.2942,0.06520832,0.000129331
10,14,15,15,NC,NHC,New Hope Creek,35.99250031,-79.04599762,NA,12/14/2016 0:00,0,1,NA,NA,331498,2256659,8895362,NHDFlowline,2.2293,0.090970059,0.000222803
11,13,14,14,NC,Mud,Mud Tributary,36.00400162,-78.97149658,NA,12/14/2016 0:00,0,1,NA,NA,334505,2259759,8888400,NHDFlowline,1.3761,0.08341255,0.000137564
12,26,27,28,VT,POPE,"Pope Brook (W-3) near North Danville, VT",44.47610092,-72.125,1135150,1/2/2017 0:00,0,7,NA,NA,751592,1849915,4572347,NHDFlowline,11.1456,0.257826187,0.001260843
13,25,26,27,VT,SLPR," SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",44.43529892,-72.03890228,1135300,1/2/2017 0:00,0,7,NA,NA,751774,1850098,4572307,NHDFlowline,15.7788,0.316178773,0.001783391
14,27,28,29,VT,MOOS,Moose River near Victory VT,44.51169968,-71.83779907,1134500,1/2/2017 0:00,0,7,NA,NA,751861,1850185,4570675,NHDFlowline,15.2145,0.294533719,0.001722022
15,21,22,23,VT,Pass,Passumpsic River,44.36560059,-72.03929901,1135500,1/2/2017 0:00,0,7,NA,NA,752155,1850483,4572379,NHDFlowline,5.6574,0.154047591,0.000638707
